Categories,Produits
CEREALES,Haricot
CEREALES,Maïs grain
CEREALES,Mil
CEREALES,Riz importé de grande consommation
CEREALES,"Riz importé de grande
consommation"
CEREALES,Riz local blanchi
CEREALES,Sorgho
FECULENTS,Banane plantain
FECULENTS,Igname assawa
FECULENTS,Igname bêtê-bêtê
FECULENTS,Igname klinglè
FECULENTS,Igname kponan
FECULENTS,Manioc doux
FECULENTS,Pomme de terre
FRUITS,Avocat ordinaire
FRUITS,Banane douce
FRUITS,Citron
FRUITS,Gingembre
FRUITS,Orange
LEGUMES,Aubergine N'drowa
LEGUMES,Aubergine violette
LEGUMES,Carotte
LEGUMES,Chou vert
LEGUMES,"Gombo frais ""baoulé"""
LEGUMES,"Gombo frais ""dioula"""
LEGUMES,"Oignon ""violet de Galmi"""
LEGUMES,Oignon Hollande
LEGUMES,Piment frais ordinaire
LEGUMES,Tomate SODEFEL
OLEAGINEUX,[image] Graine de palme ordinaire
OLEAGINEUX,Arachide décortiquée gros grain
OLEAGINEUX,Arachide décortiquée petit grain
OLEAGINEUX,Graine de palme ordinaire
PRODUITS ANIMAUX,Viande de bœuf avec os
PRODUITS ANIMAUX,Viande de bœuf sans os
PRODUITS ANIMAUX,Viande de mouton
PRODUITS HALIEUTIQUES,Poisson congelé CARPE NOIRE
PRODUITS HALIEUTIQUES,Poisson congelé CARPE ROUGE
PRODUITS HALIEUTIQUES,Poisson congelé CHINCHARD
PRODUITS HALIEUTIQUES,Poisson congelé MARQUEREAU
PRODUITS HALIEUTIQUES,Poisson congelé THON
