MOIS,DATE,ANNEE,CATEGORIE,SOUS-CATEGORIE,PRODUITS,UNITE,VILLE,PRIX
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,KPONAN (kg),kilogramme,ABIDJAN,500
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,IGNAME KLEGLE (kg),kilogramme,ABIDJAN,400
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,ASSAWA,kilogramme,ABIDJAN,450
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,IGNAME BÊTÊ BÊTÊ (kg) ,kilogramme,ABIDJAN
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,MANIOC (kg),kilogramme,ABIDJAN,250
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,CITRON (kg),kilogramme,ABIDJAN,500
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,POMME DE TERRE (kg),kilogramme,ABIDJAN,500
janvier,2020-01-06,2020,PRODUITS VIVRIERS,FRUITS,ANANAS (kg),kilogramme,ABIDJAN,250
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,MIL (kg),kilogramme,ABIDJAN,400
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,FONIO (400 GR.),gramme,ABIDJAN,800
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,RIZ LOCAL (LONGS GRAINS),kilogramme,ABIDJAN,500
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,RIZ LOCAL (BRISURES),kilogramme,ABIDJAN,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,GOMBO Dioula,kilogramme,ABIDJAN,500
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,GOMBO Baoulé,kilogramme,ABIDJAN,500
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,AUBERGINE N'DROWA (kg),kilogramme,ABIDJAN,400
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,AUBERGINE VIOLETTE,kilogramme,ABIDJAN,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,FRUITS,BANANE DOUCE,sans unité,ABIDJAN,385
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,OIGNON VIOLET - NIGER-BF (kg),kilogramme,ABIDJAN,700
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,OIGNON BLANC (kg),kilogramme,ABIDJAN,500
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,PIMENT (kg),kilogramme,ABIDJAN,1200
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,GRAINE DE PALME (kg),kilogramme,ABIDJAN,250
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,CITRON (kg),kilogramme,ABIDJAN,500
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,GINGIMBRE (kg),kilogramme,ABIDJAN,400
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,CAROTTE (kg),kilogramme,ABIDJAN,800
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,CHOU (kg),kilogramme,ABIDJAN,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,COURGETTE (kg),kilogramme,ABIDJAN,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,NAVET (kg),kilogramme,ABIDJAN,500
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,POIVRON (kg),kilogramme,ABIDJAN,1200
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,COMCOMBRE (kg),kilogramme,ABIDJAN,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,HARICOT VERT (kg),kilogramme,ABIDJAN,1200
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,HARICOT NIEBE BLANC,sans unité,ABIDJAN,500
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,PAMPLEMOUSSE,sans unité,ABIDJAN,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,PAPAYE (kg),kilogramme,ABIDJAN,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,FRUITS,GOYAVE,sans unité,ABIDJAN,900
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,MANGUES,sans unité,ABIDJAN
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,TANGELO,sans unité,ABIDJAN,800
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,ORANGE (kg),kilogramme,ABIDJAN,250
janvier,2020-01-06,2020,PRODUITS VIVRIERS,FRUITS,AVOCAT (kg),kilogramme,ABIDJAN,250
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,COROSSOL,sans unité,ABIDJAN,1000
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,BANANE PLANTAIN (kg),kilogramme,ABIDJAN,150
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,TOMATE TYPE SALADE (kg),kilogramme,ABIDJAN,650
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,PATATE DOUCE,kilogramme,ABIDJAN,200
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,ARACHIDE DECORTIQUEE (kg),kilogramme,ABIDJAN,800
janvier,2020-01-06,2020,PRODUITS FRAIS,BOUCHERIE,VIANDE DE BOEUF SANS OS (kg),kilogramme,ABIDJAN,2700
janvier,2020-01-06,2020,PRODUITS FRAIS,BOUCHERIE,VIANDE DE BOEUF AVEC OS (kg),kilogramme,ABIDJAN,2350
janvier,2020-01-06,2020,PRODUITS FRAIS,BOUCHERIE,VIANDE DE MOUTON (kg),kilogramme,ABIDJAN,3500
janvier,2020-01-06,2020,PRODUITS FRAIS,BOUCHERIE,POULET DE CHAIR (kg),kilogramme,ABIDJAN,1700
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,CARPE NOIRE D'AQUACULTURE,kilogramme,ABIDJAN,2500
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,CARPE ROUGE LOCALE,kilogramme,ABIDJAN,2800
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,THON NOIR,kilogramme,ABIDJAN,1400
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,THON ROUGE,kilogramme,ABIDJAN,2500
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,SOSSO LOCAL,kilogramme,ABIDJAN,2800
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,MÂCHOIRON FRAIS LOCAL,kilogramme,ABIDJAN,2000
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,SARDINE FUMÉE (MANGNE),kilogramme,ABIDJAN,850
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,ESCARGOT LOCAL,kilogramme,ABIDJAN,2500
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,CREVETTE LOCALE,kilogramme,ABIDJAN,2000
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,RIZ IMPORTE DU VIETNAM / SAC 5 KGS,kilogramme,ABIDJAN,3500
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,RIZ IMPORTE DU VIETNAM / SACHET 900G,gramme,ABIDJAN,650
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,RIZ IMPORTE DE THAÏLANDE / SAC 5 KGS,kilogramme,ABIDJAN,3750
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,RIZ IMPORTE DE THAÏLANDE / SACHET 900G,gramme,ABIDJAN,700
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,HUILE DE PALME RAFFINÉE / BOUTEILLE 5L,litre,ABIDJAN,4500
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,HUILE DE PALME RAFFINÉE BOUTEILLE 31,litre,ABIDJAN,2800
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,"HUILE DE PALME RAFFINÉE / BOUTEILLE 1,5L",litre,ABIDJAN,1400
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,KPONAN (kg),kilogramme,SANPEDRO,400
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,IGNAME KLEGLE (kg),kilogramme,SANPEDRO,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,ASSAWA,kilogramme,SANPEDRO,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,IGNAME BÊTÊ BÊTÊ (kg) ,kilogramme,SANPEDRO
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,MANIOC (kg),kilogramme,SANPEDRO,200
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,CITRON (kg),kilogramme,SANPEDRO,700
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,POMME DE TERRE (kg),kilogramme,SANPEDRO,500
